,RMSD,Score,"gauss(o=0,w=0.5,c=8)","gauss(o=3,w=2,c=8)","repulsion(o=0,c=8)","hydrophobic(g=0.5,b=1.5,c=8)","non_dir_h_bond(g=-0.7,b=0,c=8)"
0,0.025218540802598,-10.8471985,-5.021230999999999,-8.305482000000001,6.0486354,-2.8148671999999997,-2.657343
1,3.3815462589263916,-8.10730934,-2.7588814690600008,-6.752830999999999,1.66048991,-1.70403796,-1.396607
2,2.996255397796631,-7.88012171,-2.5198957351900004,-7.229050999999999,1.1839231529999998,-1.2885649000000001,-1.009037
3,1.8338611125946045,-7.85159254,-2.2543396471439996,-6.870735000000001,1.2113477472999998,-1.5708311899999998,-1.28481
4,2.245105028152466,-7.8483758,-2.6606842561949997,-6.458833,0.8625860009999999,-1.6941526,-0.782952
5,2.407698154449463,-7.84729767,-2.579660075075211,-6.685947999999999,0.9859946999999999,-1.4885184000000002,-0.985384
6,3.204030752182007,-7.82826138,-2.645271967,-6.173259,0.9168852230000001,-1.5648114200000003,-1.245833
7,1.4313656091690063,-7.68803072,-2.08107484089041,-6.458602999999999,1.2767149947,-1.8878463100000002,-0.554213
8,2.302943706512451,-7.66568041,-2.1228908269999995,-6.888121999999999,1.5980944499999996,-1.5232603000000002,-1.78143
9,1.7084087133407593,-7.62067747,-2.4914257925800007,-6.0909622,1.0643162119999998,-1.6775141999999998,-0.789296
10,1.8198637962341309,-8.81139278,-3.5223367499999996,-6.761361999999999,1.72990880701,-3.6726844999999995,-0.189283
11,2.0640816688537598,-8.57872105,-2.53154631,-6.754750999999999,1.43444642,-2.7113347999999995,-1.035133
12,1.8405264616012573,-8.46880627,-2.6462032,-6.98352,2.4434274000000005,-3.6608770999999996,-1.039196
13,1.1746097803115845,-8.35488605,-2.2126498160000003,-6.572452,0.27284041200000003,-2.9832744000000004,-0.282109
14,1.2736884355545044,-8.31683922,-2.33384179,-7.016443,1.4967548006999998,-3.0621667,-0.736258
15,1.7811344861984253,-7.89274788,-2.5133559300000003,-6.5201270000000005,1.23345075,-2.5641133000000007,-0.9288609999999999
16,0.6830837726593018,-7.84240341,-2.2649537929,-6.374382999999999,1.0627468580000001,-3.1134335,-0.383595
17,1.8484102487564087,-7.83897352,-2.71432771,-6.13785,1.08341236,-2.7684749,-0.273024
18,1.149859070777893,-7.69336319,-2.1275203298240997,-6.327043999999999,0.390991863,-2.5348366200000005,-0.286783
19,0.20977702736854553,-11.6346769,-3.7441329,-8.426093,1.28726494,-2.1561551,-1.31258
20,1.7982507944107056,-10.0910788,-3.1245447000000004,-7.686117,0.8008921458900001,-1.5054046,-1.096252
21,11.056984901428223,-10.5713072,-3.6812759746086616,-10.801727299999998,4.3509866783,-1.1228702700000002,-5.3728924
22,9.171612739562988,-10.5663834,-5.023533568194752,-13.402672100000004,4.391899178,-1.915328,-4.5048829999999995
23,9.17078971862793,-10.4557705,-4.614182052014412,-13.333539200000002,3.8291191530000006,-1.8597446369999997,-3.8075969999999995
24,6.154592514038086,-10.2036905,-5.704945165285469,-13.982010100000005,5.824826595799999,-1.5221379259999999,-5.807996999999999
25,9.44964599609375,-9.94808197,-4.403299998352918,-13.021812699999996,4.458836675999999,-1.2747151949999997,-4.8374690000000005
26,6.899023056030273,-9.88680363,-5.3827708395708225,-12.031101999999994,4.379390412200001,-2.1078122,-5.378042
27,9.643892288208008,-9.78650665,-4.280290490447173,-13.127415200000007,3.987036996099999,-1.5878309300000004,-4.089491000000001
28,6.414333820343018,-9.70521545,-5.04115041945945,-13.6162304,6.356682695699998,-1.6866686400000002,-6.119266
29,9.313430786132812,-9.68275833,-3.795862085623448,-11.778983299999998,3.3008803958399997,-1.4726571499999999,-4.561469
30,1.9187449216842651,-8.50526237,-2.129973959,-7.135169,0.7888158775000002,-1.080932,-0.936733
31,2.3141183853149414,-8.41102123,-3.7588893000000003,-6.719776,2.8611307891,-0.9727904,-1.836565
32,1.9335377216339111,-8.26127434,-1.9379512099999998,-6.987475999999999,0.6983964520000001,-1.238734,-0.8299
33,2.0971925258636475,-7.94790411,-2.814639400000001,-5.944502000000001,1.3406975251,-1.2151478999999998,-1.367728
34,1.773908019065857,-7.88359642,-2.8229585400000006,-6.570246000000001,1.1186198750000003,-0.9692902,-0.7326699999999999
35,1.4510375261306763,-7.68854952,-3.0167191,-6.5463379999999995,1.4718859400000002,-1.0049635,-0.845839
36,2.1749067306518555,-7.62495613,-2.4536846449999996,-5.63803,1.38532961,-0.6493137,-2.0560899999999998
37,2.0003228187561035,-7.61481714,-1.664014445,-6.498772999999999,0.701299365,-0.8195467000000001,-1.131767
38,0.7855318784713745,-7.57771921,-2.8229997,-5.6451910000000005,1.282413819,-1.3184563,-0.975651
